Levels,Question,A,B,C,D
7 (Adventurer),Would you rather make a significant impact on a few or a smaller impact on many?,Significant impact on a few,Smaller impact on many,,
,Are you more energized by social interactions or quiet reflection?,Social interactions,Quiet reflection,,
,Do you prefer to express yourself through words or visuals?,Words,Visuals,,
,Would you rather be a wildlife photographer or a documentary filmmaker?,Wildlife photographer,Documentary filmmaker,,
,Which would you enjoy doing more?,Buy coffee for the person behind you.,Write a thank-you note to someone special.,,
,Do you consider yourself a creative person?,Yes ,No,,
,Which one do you need as a reminder today?,"""Push forward with passion.""","""Be patient; your time will come.""",,
,Would you rather be an entrepreneur or work within an established organization?,Be an entrepreneur,Work in an organization,,
,Do you find fulfillment in mastering a craft or exploring new interests?,Mastering a craft,Exploring new interests,,
,Would you rather focus deeply on one task or juggle multiple tasks at once?,Focus on one task,Juggle multiple tasks,,
,Which act appeals to you more?,Help a neighbor carry groceries.,Compliment a stranger sincerely.,,
,Do you enjoy learning new languages?,Yes,No,,
,Do you prefer texting over phone calls?,Yes,No,,
,What's your ideal vacation spot?,A bustling city full of nightlife and excitement.,A historical landmark rich with stories of the past.,A peaceful countryside cabin surrounded by nature.,A tranquil beach where you can reflect and dream.
,How do you handle misunderstandings with friends?,Talk it out immediately,Give it time and space,,
,"Would you rather get a 50% chance to win $1,000 or a guaranteed $400?","50% chance at $1,000",Guaranteed $400,,
,Which one speaks to you more?,"""Chase your dreams fiercely.""","""Embrace every season of life.""",,
,Which would you prefer to do?,Donate clothes you no longer wear.,Plant a tree in your community.,,
,Do you believe that everything happens for a reason?,Yes,No,,
,How do you approach a new challenge?,Dive in headfirst and figure it out as you go.,"Plan carefully and take steady, practical steps.",Research extensively before making a move.,Rely on intuition and feelings to guide you.
,Are you more driven by competition or collaboration?,Competition,Collaboration,,
,Would you rather create a detailed plan or improvise as you go?,Create a plan,Improvise,,
,Do you prefer to work behind the scenes or be the face of a project?,Behind the scenes,Face of the project,,
,Have you ever missed a flight?,Yes,No,,
,Pick a Symbol:,Flame,Tree,Cloud,Wave
,Which one feels closer to how you live?,"""Take the path less traveled.""","""Enjoy the quiet moments.""",,
,Would you rather teach children or adults?,Children,Adults,,
,Are you more interested in understanding how things work or why things matter?,How things work,Why things matter,,
,Do you enjoy cooking?,Yes,No,,
,Select an Animal:,Lion,Bear,Owl,Whale
,Do you think it's important to have shared goals with your partner?,"Yes, definitely",It's okay to have separate goals,,
,"When someone doesn't smile back at you, do you think:"," ""They must be upset with me.""","""Maybe they're having a tough day.""",,
,Have you ever told a white lie to get out of a social event?,Yes,No,,
,Would you rather perform scientific research or apply scientific knowledge?,Perform research,Apply knowledge,,
8 (Seeker),Which one resonates with your journey?,"""Make yourself proud.""","""Breathe and let it flow.""",,
,Do you enjoy puzzles and brain teasers?,Yes,No,,
,What's your favorite way to express yourself?,Through bold fashion choices.,Engaging in thoughtful conversations.,By creating a welcoming home environment.,Writing poetry or keeping a journal.
,Which quote inspires you the most?,"""The journey of a thousand miles begins with one step."" - Lao Tzu"," ""The important thing is not to stop questioning."" - Albert Einstein","""The only limit to our realization of tomorrow is our doubts of today."" - Franklin D. Roosevelt","""Art enables us to find ourselves and lose ourselves at the same time."" - Thomas Merton"
,Do you prefer staying in over going out?,Yes,No,,
,Would you rather spend your time learning about history or envisioning the future?,Learning about history,Envisioning the future,,
,Would you rather pay $10 for a movie ticket now or risk it being sold out for a chance to pay $5 later?,Pay $10 now,Risk it for $5 later,,
,"If you make a small mistake, do you feel:","""Everyone slips up sometimes.""","""I'm a total failure.""",,
,Choose a festival to attend:,A lively music festival with multiple stages.,A local food fair celebrating regional cuisine.,A book fair featuring authors and discussions.,An art festival showcasing various artists.
,Do you find joy in organizing details or embracing spontaneity?,Organizing details,Embracing spontaneity,,
,Which one sounds more like your approach?,"""Go for it; take that leap.""","""Find joy in slowing down.""",,
,Have you ever tried an extreme sport?,Yes,No,,
,What's your approach to decision-making?,Trust your gut and decide quickly.,Reflect on how each option feels emotionally.,Gather information and think it through logically.,Consider the practical pros and cons carefully.
,"When facing a new challenge, do you prefer to:",Stick with what you know works,Try new strategies even if they might fail,,
,Do you prefer to read fiction or non-fiction books?,Fiction,Non-fiction,,
,Do you like horror movies?,Yes,No,,
,Are you more motivated by personal achievement or contributing to a team?,Personal achievement,Team contribution,,
,"When a friend cancels plans, do you assume:","""They don't want to hang out with me.""","""Something important must have come up.""",,
,Have you ever gone camping?,Yes,No,,
,How do you show appreciation in your relationships?,Giving gifts,Spending quality time,,
,Which one feels more uplifting?,"""Keep striving for what you want.""","""Rest and recharge your energy.""",,
,Would you rather have a job with a fixed salary or one with a lower base but high commission potential?,Fixed salary,"Lower base, high commission",,
,"If you found a magic lamp, what would your first wish be?",For endless adventures around the world.,For health and happiness for loved ones.,For the ability to bring dreams to life.,For infinite knowledge on any subject.
,Would you rather build something tangible or develop an idea?,Build something tangible,Develop an idea,,
,Are you more passionate about leading a cause or supporting one?,Leading a cause,Supporting a cause,,
,Would you rather be known for your creativity or your analytical skills?,Creativity,Analytical skills,,
,Do you consider yourself a morning person?,Yes,No,,
,Do you enjoy tasks that are:,Difficult but offer a chance to learn,Easy and familiar,,
,Which do you find more enjoyable: writing a journal or taking photographs?,Writing a journal,Taking photographs,,
,What's your go-to dance move at a party?,Joining in on a group choreography.,Breakdancing to impress the crowd.,A simple two-step while chatting with friends.,Freestyle movements that express your mood.
,Have you ever gone on a road trip without a plan?,Yes,No,,
,Which one resonates with your current goals?,"""Keep moving; you’re closer than you think.""","""Let go and be present.""",,
,Do you find more satisfaction in solving puzzles or helping others solve theirs?,Solving my own puzzles,Helping others solve theirs,,
,Would you rather your partner be more practical or more romantic?,More practical,More romantic,,
,Do you often set goals for yourself?,Yes,No,,
,Do you find it easy to stay organized?,Yes,No,,
,Are you comfortable speaking in front of a crowd?,Yes,No,,
,Would you rather create something that makes people think or makes people feel?,Makes people think,Makes people feel,,
,"If you receive criticism at work, do you think:"," ""I'm terrible at my job.""","""I can use this to improve.""",,
,Which of these challenges would you take on?,Complete a creative project like writing a book.,Climb a mountain to conquer your fears.,Commit to a 30-day habit-building routine.,Learn a new language in six months.
,"When you make a mistake, do you tend to:",Feel discouraged and avoid similar tasks,See it as a learning opportunity to improve,,
,Which one feels like your truth?,"""Take chances; make memories.""","""Simplicity is a form of strength.""",,
,"Are you more drawn to working in a fast-paced environment or a calm, steady one?",Fast-paced,Calm and steady,,
,Which sounds more fun: going to a comedy show or watching a dramatic play?,Dramatic play,Comedy show,,
,Would you prefer to have a personal chef or a personal fitness trainer?,Personal chef,Personal trainer,,
,Which is more appealing: a futuristic gadget or a vintage collectible?,Futuristic gadget,Vintage collectible,,
,Would you rather write a book or direct a movie?,Write a book,Direct a movie,,
,Would you rather spend a year traveling the world or start your own business?,Travel the world,Start my own business,,
,Would you rather be a world-renowned chef or a famous fashion designer?,Chef,Fashion designer,,
,Would you rather teach a class or perform on stage?,Teach a class,Perform on stage,,
9 (Inquirer),Which one feels more like your vibe?,"""Follow what excites you.""","""Embrace the calm moments.""",,
,Do you enjoy roller coasters?,Yes,No,,
,Which makes you feel better to do?,Share your favorite playlist with others.,Help out at a local animal adoption event.,,
,Select a Musical Instrument:,Drums,Piano,Flute,Violin
,How important is it for you to maintain your own hobbies and interests in a relationship?,Very important,Not that important,,
,"When you have a bad day, do you believe:","""Nothing ever goes right for me.""","""Tomorrow is a new opportunity.""",,
,How do you define success?,Achieving ambitious goals and making an impact.,"Building a stable, fulfilling life.",Living authentically and expressing yourself fully.,Continuously growing in knowledge and understanding.
,Have you ever laughed so hard you cried?,Yes :),No!,,
,Would you rather develop your emotional intelligence or your strategic thinking skills?,Emotional intelligence,Strategic thinking skills,,
,Would you rather receive feedback that:,Helps you understand how to get better,Praises your abilities,,
,Which appeals to you more: discovering new music or revisiting old favorites?,Discovering new music,Revisiting old favorites,,
,Would you rather be a professional athlete or a celebrated artist?,Professional athlete,Celebrated artist,,
,Which one reflects how you’re feeling?,"""Believe in your power.""","""Find peace within.""",,
,Have you ever sung karaoke in public?,Yes,No,,
,Do you like pineapple on pizza?,Yes,No,,
,Have you ever danced in the rain?,Yes,No,,
,What's your strategy for making a tough decision?,Go with your gut feeling and act swiftly.,Weigh the pros and cons carefully.,Seek advice and gather information.,Reflect on how each choice aligns with your values.
,"In your free time, do you prefer to:",Explore new activities and experiences,Focus on hobbies you already love,,
,Would you rather participate in a talent show or watch one from the audience?,Participate,Watch from the audience,,
,"If you could master any instrument overnight, which would it be?",Electric guitar to rock out on stage.,Acoustic guitar for sing-alongs by the campfire.,Saxophone for smooth jazz sessions.,Harp for enchanting melodies.
,Which do you find more relaxing: listening to the rain or basking in the sunshine?,Listening to rain,Basking in sunshine,,
,"If someone doesn't reply to your text, do you assume:","""They're ignoring me.""","""They might be busy.""",,
,Which one feels more motivating?,"""Push forward with courage.""","""Be kind to yourself along the way.""",,
,Do you hit the snooze button more than once in the morning?,Yes,No,,
,Do you enjoy being the center of attention?,Yes,No,,
,How important is shared humor in your relationships?,Very important,Not a big deal,,
,Would you rather receive $100 today or $150 a month from now?,$100 today,$150 in a month,,
,Do you handle criticism well?,Yes,No,,
,Are you good at managing your time?,Yes,No,,
,Do you work well under pressure?,Yes,No,,
,Would you rather spend time solving a mystery or creating something artistic?,Solving a mystery,Creating art,,
,What is your preferred method for personal growth?,Continuous learning and exploration,Building strong relationships,Engaging in creative projects,Setting and achieving specific goals
,Would you rather start a non-profit organization or run a successful company?,Start a non-profit,Run a company,,
,Would you prefer to spend an afternoon at a museum or at an amusement park?,Museum,Amusement park,,
,Which one do you need today?,"""Take the risk; it will be worth it.""","""Relax; trust that it will all work out.""",,
,"When working on a project, do you:",Plan every detail before starting,Start quickly and adjust along the way,,
,"When you face a new challenge, do you think:","""I can't do this.""","""I'll give it my best shot.""",,
,Would you rather invent something groundbreaking or discover a new species?,Invent something,Discover a species,,
,Do you prefer to work in a high-rise office or remotely from anywhere in the world?,High-rise office,Remote work anywhere,,
,What's your favorite type of joke?,"Silly, whimsical humor that brightens the day.",Witty wordplay and clever one-liners.,Puns that make you groan and grin.,Pranks that get everyone laughing.
,Are you more passionate about nature or technology?,Nature,Technology,,
,"If you receive a compliment, do you:",Accept it and feel pleased.,Brush it off and doubt it.,,
,Have you ever tried a food that most people find unusual?,Yes,No,,
,Which one fits your mindset better?,"""Focus on creating, not comparing.""","""Appreciate where you are now.""",,
,"Do you find it challenging to say ""no"" to others?",Yes,No,,
,Do you consider yourself a good listener?,Yes,No,,
,Are you often late to appointments or meetings?,Yes,No,,
,Would you rather be a travel blogger or a food critic?,Travel blogger,Food critic,,
,Do you find success comes more from:,Consistent effort and practice,Natural talent and intuition,,
,Which do you prefer: a day full of scheduled activities or a day with nothing planned?,Nothing planned,Scheduled activities,,
10 (Thinker),Would you rather spend an evening playing board games or playing video games?,Board games,Video games,,
,Which one speaks to where you are in life?,"""Push beyond your comfort zone.""","""Enjoy the journey, not just the destination.""",,
,"When plans change unexpectedly, do you feel:","""I can adapt to this.""","""Everything is ruined.""",,
,"When learning something new, do you prefer:",Structured lessons and courses,Self-directed exploration,,
,Would you rather have a talent for storytelling or a talent for comedy?,Storytelling,Comedy,,
,How do you prefer to handle finances in a relationship?,Share everything equally,Keep finances separate,,
,"In group settings, do you tend to:",Lead the discussion,Listen and contribute when inspired,,
,Would you rather have a relaxing spa day or an adventurous outdoor activity?,Spa day,Outdoor adventure,,
,Would you rather design a building or plan a city's infrastructure?,Design a building,Plan infrastructure,,
,Would you rather be a skilled craftsman or a master chef?,Craftsman,Chef,,
,Do you consider yourself an adventurous person?,Yes,No,,
,Which one resonates more right now?,"""Be fearless in your pursuit.""","""Embrace the beauty of rest.""",,
,Which act would you choose?,Volunteer to coach youth sports.,Leave a friendly note on a coworker's desk.,,
,"If you have an argument with someone, do you think:","""Our relationship is over.""","""We can work through this.""",,
,"When faced with a challenge, do you:",Jump in and figure it out as you go,Take time to strategize,,
,Would you prefer to develop your negotiation skills or your creative problem-solving skills?,Negotiation skills,Creative problem-solving skills,,
,Choose a superhero ability:, Super speed to be everywhere at once.,The power to grow plants instantly.,Teleportation to explore new places.,Invisibility to observe unnoticed.
,Would you rather receive advice or just have someone listen when you have a problem?,Receive advice,Just listen,,
,Which one do you need today?,"""Be brave enough to start a conversation that matters.""","""Listen to understand, not to respond.""",,
,Would you rather buy insurance for peace of mind or skip it to save money?,Buy insurance,Skip insurance,,
,Would you rather perform stand-up comedy or give a motivational speech?,Stand-up comedy,Motivational speech,,
,Which one feels more like you?,"""Take the leap and go for it.""","""Find comfort in slowing down.""",,
,Do you enjoy collaborating with others?,Yes,No,,
,Do you prefer to avoid conflict?,Yes,No,,
,Are you comfortable taking the lead in group settings?,Yes,No,,
,"When you forget something important, do you say to yourself:","""I'll set a reminder next time.""","""I'm so stupid.""",,
,Do you find motivation in:,Setting and achieving specific goals,Enjoying the process without strict goals,,
,"If you were a beverage, what would you be?",A comforting cup of hot cocoa.,A spicy chai latte with a kick.,A refreshing iced matcha tea.,"A colorful, layered smoothie."
,Would you rather be a top fashion model or a top fashion photographer?,Fashion model,Fashion photographer,,
,Would you rather coach a sports team or direct a theater play?,Coach a sports team,Direct a play,,
,Which makes you feel better to do?,Offer to walk a neighbor's dog.,Leave a positive review for a local business.,,
,Which one do you need to hear?,"""Stay committed to your goals.""","""Let go and trust the process.""",,
,Pick a Flower:,Sunflower,Rose,Orchid,Lotus
,Do you enjoy more: exploring new cuisines or sticking to your favorite dishes?,Favorite dishe,Exploring new cuisines,,
,Would you rather receive a gift card or cash of the same value?,Gift card,Cash,,
,"When making decisions, do you:",Trust your instincts,Analyze all the details,,
,Would you usually spend on something you need or something you want?,Something I need,Something I want,,
,"If you could instantly acquire a new skill, what would it be?",Master public speaking to inspire large audiences.,Learn advanced cooking to prepare hearty meals.,Speed-read to absorb books in minutes.,Play a musical instrument to express your emotions.
,Would you rather go on a solo adventure or join a group expedition?,Solo adventure,Group expedition,,
,Would you prefer to create a masterpiece artwork or design an innovative gadget?,Masterpiece artwork,Innovative gadget,,
,Would you prefer to invent a new social media platform or write a comprehensive self-help book?,New social media platform,Self-help book,,
,Which one speaks to your soul?," ""Trust the magic of beginnings.""","""Learn to be gentle with yourself.""",,
,What's your favorite kind of surprise?,An unexpected adventure trip.,A surprise visit from an old friend.,Discovering a hidden gem in the city.,"Receiving a heartfelt, handmade gift."
,Which would you like to do more?,Help organize a community event.,Pay for someone's parking meter.,,
,Do you prefer to work:,On one project at a time,On multiple projects simultaneously,,
,How do you typically set your goals?,Aim high with ambitious targets that challenge you.,"Set realistic, achievable goals with clear steps.",Create a list of learning objectives to expand your horizons.,Visualize your dreams and let inspiration guide you.
,Would you prefer to explore a new planet or discover a new species on Earth?,Explore a new planet,Discover a new species,,
,"When approaching change, do you:",Embrace it eagerly,Take time to adjust,,
,Would you rather explore your own country's hidden gems or travel internationally?,Explore my country,Travel internationally,,
,Which one aligns more with your values?,"""Let go of what you can’t control.""","""Be intentional with your time.""",,
11 (Novice),Do you adapt quickly to new situations?,Yes,No,,
,Do you tend to procrastinate on important tasks?,Yes,No,,
,Do you enjoy solving complex problems?,Yes,No,,
,Choose a Mythical Creature:,Dragon,Phoenix,Pegasus,Mermaid
,Would you rather live in a place with four seasons or a place where it's always warm?,Four seasons,Always warm,,
,Which would you enjoy more?,Hold the door open for others all day.,Send a care package to someone far away.,,
,"In conversations, do you:","Enjoy deep, focused discussions","Prefer light, wide-ranging chats",,
,Would you rather follow the crowd in financial decisions or trust your own instincts?,Follow the crowd,Trust my instincts,,
,What's your approach to lifelong learning?,Explore creative pursuits and self-expression.,Enroll in online courses and educational programs.,Learn through hands-on experience and practice.,Attend seminars and network with experts.
